"Haupt";"Mitte";"Unter";"Adresse"
;;"Dämmerung";"4/0/3"
;"Helligkeit";;"4/1/-"
;;"Helligkeit Ost";"4/1/0"
;;"Helligkeit Süd";"4/1/1"
;;"Helligkeit West";"4/1/2"
;"Alarm";;"4/2/-"
;;"Windwarnung";"4/2/0"
;;"Windalarm";"4/2/1"
;;"Regenalarm";"4/2/2"
;;"Frostalarm";"4/2/3"
;"Beschattung";;"4/3/-"
;;"Sonne Ost Aktiv";"4/3/0"
;;"Sonne Süd Aktiv";"4/3/1"
;;"Sonne West Aktiv";"4/3/2"
;;"Beschattung Automatik Aktiv";"4/3/3"
"Fenster";;;"5/-/-"
;"Wohnzimmer";;"5/0/-"
;;"Wohnzimmer Fenstergriff 1 Status";"5/0/0"
;;"Wohnzimmer Fenstergriff 2 Status";"5/0/1"
;;"Wohnzimmer Fenstergriff 3 Status";"5/0/2"
;;"Wohnzimmer Fensterstatus Raum";"5/0/10"
;"Küche";;"5/1/-"
;;"Küche Fenstergriff 1 Status";"5/1/0"
;;"Küche Fenstergriff 2 Status";"5/1/1"
;;"Küche Fensterstatus Raum";"5/1/10"
;"Bad vorne";;"5/2/-"
;;"Bad vorne Fenstergriff Status";"5/2/0"
;;"Bad vorne Fensterstatus Raum";"5/2/10"
;"Arbeitszimmer";;"5/3/-"
;;"Arbeitszimmer Fenstergriff 1 Status";"5/3/0"
;;"Arbeitszimmer Fenstergriff 2 Status";"5/3/1"
;;"Arbeitszimmer Fensterstatus Raum";"5/3/10"
;"Schlafzimmer";;"5/4/-"
;;"Schlafzimmer Fenstergriff 1 Status";"5/4/0"
;;"Schlafzimmer Fenstergriff 2 Status";"5/4/1"
;;"Schlafzimmer Fensterstatus Raum";"5/4/10"
;"Badezimmer";;"5/5/-"
;;"Badezimmer Fenstergriff 1 Status";"5/5/0"
;;"Badezimmer Fenstergriff 2 Status";"5/5/1"
;;"Badezimmer Fensterstatus Raum";"5/5/10"
"Präsenz";;;"6/-/-"
;"Gang";;"6/0/-"
;;"Gang Präsenz";"6/0/0"
;;"Gang Bewegung";"6/0/1"
;;"Gang Helligkeit";"6/0/2"
"Szenen";;;"7/-/-"
;"Allgemein";;"7/0/-"
;;"Szene Fernsehen";"7/0/0"
;;"Szene Essen";"7/0/1"
;;"Szene Gute Nacht";"7/0/2"
;;"Szene Haus verlassen";"7/0/3"
"Status";;;"8/-/-"
;"Allgemein";;"8/0/-"
;;"Status Fenster offen gesamt";"8/0/0"
;;"Status Wetterschutz aktiv";"8/0/1"
;;"Status Urlaub aktiv";"8/0/2"
;;"Status Nachtmodus aktiv";"8/0/3"
;;"Status Haus verlassen aktiv";"8/0/4"
"Home Assistant";;;"9/-/-"
;"Status";;"9/0/-"
;;"HA Status Online";"9/0/0"
;;"HA Zentral Anzeige";"9/0/1"
